report_date,region,class,type,volume,pct_chg
2017-12-11,South Central (SC),,Cage-Free,7.4,50.6%
2017-12-11,South Central (SC),,Organic,6.2,18.3%
2017-12-11,South Central (SC),,Specialty,3.2,-13.9%
2017-12-11,South Central (SC),Extra Large,,24.7,-25.8%
2017-12-11,South Central (SC),Jumbo,,7.1,-11.3%
2017-12-11,South Central (SC),Large,,144.4,-2.0%
2017-12-11,South Central (SC),Medium,,26.4,0.1%
2017-12-11,South Central (SC),Misc,,21.0,6.1%
2017-12-11,South Central (SC),Small,,2.7,12.2%
2017-12-11,South Central (SC),Total,,241.4,-4.3%
2017-12-11,South Central (SC),Ungraded,,15.1,0.4%
2017-12-11,Southeast (SE),,Cage-Free,9.0,-0.2%
2017-12-11,Southeast (SE),,Organic,12.1,75.8%
2017-12-11,Southeast (SE),,Specialty,19.4,-3.9%
2017-12-11,Southeast (SE),Extra Large,,32.3,3.0%
2017-12-11,Southeast (SE),Jumbo,,11.7,-6.2%
2017-12-11,Southeast (SE),Large,,152.8,27.0%
2017-12-11,Southeast (SE),Medium,,24.5,21.3%
2017-12-11,Southeast (SE),Misc,,11.9,3.8%
2017-12-11,Southeast (SE),Small,,2.2,2.1%
2017-12-11,Southeast (SE),Total,,284.7,16.1%
2017-12-11,Southeast (SE),Ungraded,,49.2,4.2%
2017-12-11,Southwest (SW),,Cage-Free,5.7,16.5%
2017-12-11,Southwest (SW),,Organic,12.8,6.4%
2017-12-11,Southwest (SW),,Specialty,1.1,-52.5%
2017-12-11,Southwest (SW),Extra Large,,26.5,-8.6%
2017-12-11,Southwest (SW),Jumbo,,7.7,-4.2%
2017-12-11,Southwest (SW),Large,,102.5,-8.9%
2017-12-11,Southwest (SW),Medium,,16.6,-28.1%
2017-12-11,Southwest (SW),Misc,,4.6,0.3%
2017-12-11,Southwest (SW),Small,,1.5,-10.6%
2017-12-11,Southwest (SW),Total,,178.0,-8.5%
2017-12-11,Southwest (SW),Ungraded,,18.6,19.7%
2017-12-18,,Breaking Stock,,262.3,-6.9%
2017-12-18,6-Area,,Cage-Free,52.5,19.7%
2017-12-18,6-Area,,Organic,75.6,4.7%
2017-12-18,6-Area,,Specialty,34.8,8.8%
2017-12-18,6-Area,Extra Large,,148.7,-9.8%
2017-12-18,6-Area,Jumbo,,66.4,9.2%
2017-12-18,6-Area,Large,,642.3,-0.9%
2017-12-18,6-Area,Medium,,139.0,-9.7%
2017-12-18,6-Area,Misc,,79.0,3.4%
2017-12-18,6-Area,Small,,16.3,-6.1%
2017-12-18,6-Area,Total,,1294.2,-2.2%
2017-12-18,6-Area,Ungraded,,202.5,0.2%
2017-12-18,Midwest (MW),,Cage-Free,23.1,17.1%
2017-12-18,Midwest (MW),,Organic,35.0,5.3%
2017-12-18,Midwest (MW),,Specialty,0.6,-50.0%
2017-12-18,Midwest (MW),Extra Large,,28.0,-17.1%
2017-12-18,Midwest (MW),Jumbo,,15.4,22.8%
2017-12-18,Midwest (MW),Large,,90.6,-13.2%
2017-12-18,Midwest (MW),Medium,,43.0,-25.4%
2017-12-18,Midwest (MW),Misc,,38.8,11.6%
2017-12-18,Midwest (MW),Small,,4.8,-16.6%
2017-12-18,Midwest (MW),Total,,310.0,-9.1%
2017-12-18,Midwest (MW),Ungraded,,89.4,-3.0%
2017-12-18,Northeast (NE),,Cage-Free,1.5,5.1%
2017-12-18,Northeast (NE),,Organic,6.3,-10.0%
2017-12-18,Northeast (NE),,Specialty,6.4,6.9%
2017-12-18,Northeast (NE),Extra Large,,35.3,-14.8%
2017-12-18,Northeast (NE),Jumbo,,16.6,-2.5%
2017-12-18,Northeast (NE),Large,,62.8,-14.9%
2017-12-18,Northeast (NE),Medium,,14.5,-3.8%
2017-12-18,Northeast (NE),Misc,,3.4,27.4%
2017-12-18,Northeast (NE),Small,,4.8,40.5%
2017-12-18,Northeast (NE),Total,,152.8,-10.0%
2017-12-18,Northeast (NE),Ungraded,,15.5,-5.0%
2017-12-18,Northwest (NW),,Cage-Free,3.7,434.0%
2017-12-18,Northwest (NW),,Organic,1.4,60.9%
2017-12-18,Northwest (NW),,Specialty,2.8,131.6%
2017-12-18,Northwest (NW),Extra Large,,9.4,51.4%
2017-12-18,Northwest (NW),Jumbo,,4.5,-4.1%
2017-12-18,Northwest (NW),Large,,84.8,20.8%
2017-12-18,Northwest (NW),Medium,,15.5,13.3%
2017-12-18,Northwest (NW),Misc,,1.5,6.7%
2017-12-18,Northwest (NW),Small,,1.4,-24.8%
2017-12-18,Northwest (NW),Total,,129.7,19.3%
2017-12-18,Northwest (NW),Ungraded,,12.6,16.7%
2017-12-18,South Central (SC),,Cage-Free,11.1,50.0%
2017-12-18,South Central (SC),,Organic,6.1,-1.4%
2017-12-18,South Central (SC),,Specialty,4.4,38.1%
2017-12-18,South Central (SC),Extra Large,,22.7,-8.2%
2017-12-18,South Central (SC),Jumbo,,11.0,55.3%
2017-12-18,South Central (SC),Large,,153.2,6.1%
2017-12-18,South Central (SC),Medium,,27.3,3.3%
2017-12-18,South Central (SC),Misc,,18.6,-11.4%
2017-12-18,South Central (SC),Small,,2.3,-15.4%
2017-12-18,South Central (SC),Total,,254.4,5.4%
2017-12-18,South Central (SC),Ungraded,,19.4,28.2%
2017-12-18,Southeast (SE),,Cage-Free,9.2,1.9%
2017-12-18,Southeast (SE),,Organic,12.9,6.3%
2017-12-18,Southeast (SE),,Specialty,17.6,-9.4%
2017-12-18,Southeast (SE),Extra Large,,31.6,-2.1%
2017-12-18,Southeast (SE),Jumbo,,12.2,4.6%
2017-12-18,Southeast (SE),Large,,160.4,5.0%
2017-12-18,Southeast (SE),Medium,,23.5,-4.0%
2017-12-18,Southeast (SE),Misc,,11.7,-1.9%
2017-12-18,Southeast (SE),Small,,1.3,-40.6%
2017-12-18,Southeast (SE),Total,,287.7,1.1%
2017-12-18,Southeast (SE),Ungraded,,46.9,-4.7%
