year,reference_period,class,value,unit,agg_level,state_alpha
2010,JUL,ALL CLASSES,128000000.0,EGGS,STATE,MS
2010,JUL,TABLE,38000000.0,EGGS,STATE,MS
2010,JUL,ALL CLASSES,281000000.0,EGGS,STATE,NC
2010,JUL,TABLE,146000000.0,EGGS,STATE,NC
2010,JUL,ALL CLASSES,236000000.0,EGGS,STATE,NE
2010,JUL,TABLE,236000000.0,EGGS,STATE,NE
2010,JUL,ALL CLASSES,99000000.0,EGGS,STATE,NY
2010,JUL,TABLE,,EGGS,STATE,NY
2010,JUL,ALL CLASSES,640000000.0,EGGS,STATE,OH
2010,JUL,TABLE,,EGGS,STATE,OH
2010,JUL,ALL CLASSES,62000000.0,EGGS,STATE,OR
2010,JUL,TABLE,60000000.0,EGGS,STATE,OR
2010,JUL,ALL CLASSES,440000000.0,EGGS,STATE,OT
2010,JUL,TABLE,301000000.0,EGGS,STATE,OT
2010,JUL,ALL CLASSES,600000000.0,EGGS,STATE,PA
2010,JUL,TABLE,580000000.0,EGGS,STATE,PA
2010,JUL,ALL CLASSES,88000000.0,EGGS,STATE,SC
2010,JUL,TABLE,66000000.0,EGGS,STATE,SC
2010,JUL,ALL CLASSES,57000000.0,EGGS,STATE,SD
2010,JUL,TABLE,57000000.0,EGGS,STATE,SD
2010,JUL,ALL CLASSES,392000000.0,EGGS,STATE,TX
2010,JUL,TABLE,,EGGS,STATE,TX
2010,JUL,ALL CLASSES,78000000.0,EGGS,STATE,UT
2010,JUL,TABLE,78000000.0,EGGS,STATE,UT
2010,JUL,ALL CLASSES,61000000.0,EGGS,STATE,VA
2010,JUL,TABLE,26000000.0,EGGS,STATE,VA
2010,JUL,ALL CLASSES,151000000.0,EGGS,STATE,WA
2010,JUL,TABLE,,EGGS,STATE,WA
2010,JUL,ALL CLASSES,108000000.0,EGGS,STATE,WI
2010,JUL,TABLE,,EGGS,STATE,WI
2010,JUN,ALL CLASSES,7529000000.0,EGGS,NATIONAL,
2010,JUN,TABLE,6450000000.0,EGGS,NATIONAL,
2010,JUN,"HATCHING, BROILER TYPE",1010000000.0,EGGS,NATIONAL,
2010,JUN,ALL CLASSES,183000000.0,EGGS,STATE,AL
2010,JUN,TABLE,32000000.0,EGGS,STATE,AL
2010,JUN,ALL CLASSES,240000000.0,EGGS,STATE,AR
2010,JUN,TABLE,73000000.0,EGGS,STATE,AR
2010,JUN,ALL CLASSES,433000000.0,EGGS,STATE,CA
2010,JUN,TABLE,,EGGS,STATE,CA
